DATE,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,VEHICLE TYPE CODE 1
6/21/2019,BRONX,10463,40.876583,-73.90266,"(40.876583, -73.90266)",ALBANY CRESCENT                 ,HEATH AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Station Wagon/Sport Utility Vehicle
6/21/2019,BROOKLYN,11212,40.657253,-73.90054,"(40.657253, -73.90054)",,,1663      LINDEN BOULEVARD              ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Sedan
6/21/2019,QUEENS,11101,40.741768,-73.94945,"(40.741768, -73.94945)",21 STREET                       ,50 AVENUE,,0,0,0,0,0,0,0,0,Following Too Closely,Sedan
6/21/2019,QUEENS,11101,40.744656,-73.94853,"(40.744656, -73.94853)",JACKSON AVENUE                  ,21 STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Sedan
6/21/2019,QUEENS,11385,40.7056,-73.85822,"(40.7056, -73.85822)",WOODHAVEN BOULEVARD             ,UNION TURNPIKE,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,,,40.737682,-73.85206,"(40.737682, -73.85206)",108 STREET                      ,HORACE HARDING EXPRESSWAY,,0,0,0,0,0,0,0,0,Passing Too Closely,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.80417,-73.966705,"(40.80417, -73.966705)",BROADWAY                        ,,,0,0,0,0,0,0,0,0,Driver Inexperience,Taxi
6/21/2019,,,40.809563,-73.92923,"(40.809563, -73.92923)",EAST 135 STREET                 ,3 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.878056,-73.892136,"(40.878056, -73.892136)",GOULDEN AVENUE                  ,,,0,0,0,0,0,0,0,0,Unspecified,Sedan
6/21/2019,QUEENS,11354,40.76079,-73.83075,"(40.76079, -73.83075)",MAIN STREET                     ,38 AVENUE,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,Station Wagon/Sport Utility Vehicle
6/21/2019,STATEN ISLAND,10306,40.579803,-74.10583,"(40.579803, -74.10583)",MIDLAND AVENUE                  ,EDISON STREET,,1,0,0,0,0,0,1,0,Lost Consciousness,Sedan
6/21/2019,,,40.72545,-73.892654,"(40.72545, -73.892654)",LONG ISLAND EXPRESSWAY          ,,,2,0,0,0,0,0,2,0,Following Too Closely,Station Wagon/Sport Utility Vehicle
6/21/2019,,,40.672558,-73.99883,"(40.672558, -73.99883)",HAMILTON AVENUE                 ,SMITH STREET,,0,0,0,0,0,0,0,0,Passing Too Closely,TRUCK
