Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Ann Avg
2019,4.90%,4.60%,4.20%,3.70%,4.20%,,,,,,,,
2018,4.60%,4.60%,4.30%,3.90%,3.60%,4.20%,4.40%,4.30%,3.80%,4%,3.70%,4%,4.10%
2017,5.10%,5%,4.50%,4.20%,4.40%,4.60%,5.10%,5.20%,4.60%,4.40%,4.20%,4.10%,4.60%
2016,5.60%,5.50%,5.40%,4.90%,4.60%,5.20%,5.60%,5.60%,5.40%,5.30%,4.70%,4.50%,5.20%
2015,6.90%,6.60%,6%,5.70%,5.80%,5.60%,5.80%,5.50%,5%,5.20%,5.20%,5.20%,5.70%
2014,8.30%,8.40%,8.10%,7%,7.30%,7.20%,7.60%,7.30%,6.60%,6.60%,6.60%,6.10%,7.30%
2013,9.90%,9.40%,8.70%,8.20%,8.60%,9.10%,9.20%,9.10%,8.70%,9%,8.20%,7.80%,8.80%
2012,10%,10.10%,9.60%,8.80%,9.20%,9.70%,9.90%,9.40%,8.70%,9%,8.60%,9%,9.30%
2011,9.40%,9.20%,8.60%,8.30%,8.50%,9.10%,9.30%,9.30%,9.20%,9.50%,9.30%,9.30%,9.10%
2010,10.50%,10.30%,10%,9.50%,9.20%,9.40%,9.70%,9.50%,9.20%,9.20%,9.20%,8.80%,9.50%
2009,7.90%,8.60%,8.70%,8.30%,8.90%,9.50%,9.90%,10%,10%,10.30%,9.90%,9.90%,9.30%
2008,5.60%,5.40%,5%,4.50%,5%,5.20%,5.70%,5.90%,5.80%,6.20%,6.30%,6.90%,5.60%
2007,5.30%,5%,4.50%,4.50%,4.70%,5.10%,5.70%,5.30%,5%,5.10%,4.90%,5.10%,5%
2006,5.50%,5.70%,5.30%,5.10%,4.90%,4.90%,5.50%,5%,4.50%,4.40%,4.50%,4.40%,5%
2005,6.20%,6.30%,5.60%,5.50%,5.40%,5.50%,5.90%,5.50%,6%,5.90%,6.10%,5.50%,5.80%
2004,8.60%,8.10%,8%,7.10%,6.90%,7.20%,7.30%,6.60%,6.40%,6.40%,6.10%,6%,7.10%
2003,9.10%,8.80%,8.30%,8.10%,8%,8.50%,8.50%,8.30%,8.30%,8.30%,8.20%,7.70%,8.30%
2002,8.30%,8.20%,8.20%,7.90%,7.60%,7.70%,8%,7.80%,7.50%,8.10%,8.40%,8.50%,8%
2001,5.60%,5.50%,5.30%,5%,4.80%,5.20%,5.60%,6.10%,6.30%,7%,7.30%,7.50%,5.90%
2000,6.50%,6.40%,6.30%,5.60%,5.70%,5.50%,5.90%,5.80%,5.40%,5.50%,5.40%,5%,5.80%
1999,7.60%,7.70%,6.90%,6.70%,6.40%,6.80%,7.30%,6.80%,6.70%,6.50%,6.10%,5.80%,6.80%
1998,9.10%,9%,8.90%,7.70%,7.60%,7.60%,7.90%,7.60%,7.60%,7.80%,7.50%,7.20%,7.90%
1997,10.30%,10.30%,10.30%,9.70%,9.50%,9.70%,9.80%,9.30%,9%,8.80%,8.30%,8.10%,9.40%
1996,8.90%,8.80%,9.10%,8.70%,8.80%,8.40%,9.10%,8.50%,8.30%,8.70%,9%,9.20%,8.80%
1995,8.30%,8.10%,8.10%,8.20%,8%,8%,8.50%,8.40%,8.20%,8.20%,8%,8%,8.20%
1994,10.60%,10.20%,9.80%,9.20%,8.60%,8.70%,9%,8.60%,7.90%,8%,7.60%,7.10%,8.80%
1993,12.30%,11.90%,10.80%,10.10%,10%,10.10%,10.20%,9.90%,9.70%,10.20%,9.90%,9.80%,10.40%
1992,10.70%,11%,10.60%,10.10%,10.70%,11.50%,11.80%,11.50%,11.30%,11.20%,11.20%,11.30%,11.10%
1991,8.10%,8.30%,8.40%,8.20%,8.70%,8.70%,8.90%,8.80%,8.60%,9%,9.20%,9.50%,8.70%
1990,7.20%,7.20%,6.70%,6.40%,6.50%,6.10%,6.90%,6.70%,7%,7.30%,7.20%,7.10%,6.90%
1989,6.80%,6.60%,6.10%,6.70%,6.70%,6.80%,6.90%,6.70%,6.80%,6.90%,7%,6.70%,6.70%
1988,5.30%,4.90%,4.70%,4.20%,4.70%,4.50%,5.30%,5.40%,5.30%,5.60%,5.70%,5.70%,5.10%
1987,6.90%,6.50%,6.10%,5.40%,5.60%,5.50%,5.80%,5.30%,5.10%,5.70%,5.60%,4.90%,5.70%
1986,7.70%,8.40%,8.10%,7.80%,8%,7.60%,7.40%,6.90%,6.80%,6.80%,6.50%,6%,7.30%
1985,9.30%,9%,8.80%,8.30%,8.20%,8%,8.10%,7.60%,7.60%,8%,7.50%,7.30%,8.10%
1984,9.10%,8.90%,8.60%,8.40%,8.40%,8.90%,10%,9.80%,9%,9%,8.40%,8.20%,8.90%
1983,10.20%,10.10%,10%,9.40%,9.50%,10.10%,10%,10.10%,9.50%,9.10%,8.60%,8.50%,9.60%
1982,9.40%,9.50%,9.30%,8.90%,9.20%,9.40%,9.90%,9.50%,9.30%,9.60%,9.80%,9.70%,9.50%
1981,9.40%,9.40%,9.40%,8.70%,9%,9%,8.90%,8.40%,8.20%,8.70%,8.90%,9%,8.90%
1980,9%,8.70%,8.10%,8.30%,8.40%,8.40%,9%,8.70%,8.30%,8.60%,8.50%,8.10%,8.50%
1979,8.80%,9%,8.80%,8.30%,8.30%,9.10%,9.40%,9.40%,8.80%,8.80%,8.30%,7.90%,8.80%
