"Provisional number of marriages and marriage rate: United States, 2000-2016",,,,,,,,,
,,,,,,,,,
Year,Marriages,Population,"Rate per 1,000 total population",,,,,,
2016,"2,245,404","323,127,513",6.9,,,,,,
2015,"2,221,579","321,418,820",6.9,,,,,,
2014/1,"2,140,272","308,759,713",6.9,,,,,,
2013/1,"2,081,301","306,136,672",6.8,,,,,,
2012,"2,131,000","313,914,040",6.8,,,,,,
2011,"2,118,000","311,591,917",6.8,,,,,,
2010,"2,096,000","308,745,538",6.8,,,,,,
2009,"2,080,000","306,771,529",6.8,,,,,,
2008,"2,157,000","304,093,966",7.1,,,,,,
2007,"2,197,000","301,231,207",7.3,,,,,,
2006/2,"2,193,000","294,077,247",7.5,,,,,,
2005,"2,249,000","295,516,599",7.6,,,,,,
2004,"2,279,000","292,805,298",7.8,,,,,,
2003,"2,245,000","290,107,933",7.7,,,,,,
2002,"2,290,000","287,625,193",8.0,,,,,,
2001,"2,326,000","284,968,955",8.2,,,,,,
2000,"2,315,000","281,421,906",8.2,,,,,,
,,,,,,,,,
1/Excludes data for Georgia.,,,,,,,,,
2/Excludes data for Louisiana.,,,,,,,,,
,,,,,,,,,
Note: Rates for 2001-2009 have been revised and are based on intercensal population estimates from the 2000 ,,,,,,,,,
and 2010 censuses. Populations for 2010 rates are based on the 2010 census.,,,,,,,,,
Source: CDC/NCHS National Vital Statistics System.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Provisional number of divorces and annulments and rate: United States, 2000-2016",,,,,,,,,
,,,,,,,,,
Year,Divorces & annulments,Population,"Rate per 1,000 total population",,,,,,
2016/1,"827,261","257,904,548",3.2,,,,,,
2015/2,"800,909","258,518,265",3.1,,,,,,
2014/2,"813,862","256,483,624",3.2,,,,,,
2013/2,"832,157","254,408,815",3.3,,,,,,
2012/3,"851,000","248,041,986",3.4,,,,,,
2011/3,"877,000","246,273,366",3.6,,,,,,
2010/3,"872,000","244,122,529",3.6,,,,,,
2009/3,"840,000","242,610,561",3.5,,,,,,
2008/3,"844,000","240,545,163",3.5,,,,,,
2007/3,"856,000","238,352,850",3.6,,,,,,
2006/3,"872,000","236,094,277",3.7,,,,,,
2005/3,"847,000","233,495,163",3.6,,,,,,
2004/4,"879,000","236,402,656",3.7,,,,,,
2003/5,"927,000","243,902,090",3.8,,,,,,
2002/6,"955,000","243,108,303",3.9,,,,,,
2001/7,"940,000","236,416,762",4.0,,,,,,
2000/7,"944,000","233,550,143",4.0,,,,,,
,,,,,,,,,
"1 Excludes data for California, Georgia, Hawaii, Indiana, Minnesota, and New Mexico.",,,,,,,,,
"2 Excludes data for California, Georgia, Hawaii, Indiana, and Minnesota.",,,,,,,,,
"3 Excludes data for California, Georgia, Hawaii, Indiana, Louisiana, and Minnesota.",,,,,,,,,
"4 Excludes data for California, Georgia, Hawaii, Indiana, and Louisiana.",,,,,,,,,
"5 Excludes data for California, Hawaii, Indiana, and Oklahoma.",,,,,,,,,
"6 Excludes data for California, Indiana, New York City, and Oklahoma.",,,,,,,,,
"7 Excludes data for California, Indiana, Louisiana, and Oklahoma.",,,,,,,,,
,,,,,,,,,
Note: Rates for 2001-2009 have been revised and are based on intercensal population estimates from the 2000 ,,,,,,,,,
and 2010 censuses. Populations for 2010 rates are based on the 2010 census.,,,,,,,,,
Source: CDC/NCHS National Vital Statistics System.,,,,,,,,,
